,postid,DateTime,timestamp,username,entity_type,PostLevel,stcode11,dtcode11,post_description,feed_pictures,feed_video,feed_news,feed_documents,experience_rating,priority,tot_agreed,tot_disagreed,Language,lat,lng,pinned,tot_comments,entity_name,entity_id,uid,profile_picture,stname,dtname,Title,tsv,title_post_text,translation,lang,preprocessed_text,ngrams,score_keywords,cosine_sim,final_score,classifier
69,2.2463E+18,,1.60441E+12,Jaano Chhattisgarh,0,State,22,-1,"मरवाही विधानसभा उप निर्वाचन 2020 में 63 वर्षीय बुजुर्ग श्री काशीराम पैंकरा ने जोगीसार में अपने मताधिकार का प्रयोग किया।
@SpokespersonECI @ECISVEEP 
(Posted on Twitter by @CEOChhattisgarh)",{https://pbs.twimg.com/media/El5e2THXIAAcDIh.jpg},NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Chhattisgarh,,,"'2020':5A '63':7A 'by':26A 'ceochhattisgarh':27A 'chhattisgarh':29C 'ecisveep':22A 'jaano':28C 'on':24A 'posted':23A 'spokespersoneci':21A 'twitter':25A 'अपने':16A 'उप':3A 'का':18A 'काशीराम':11A 'किया':20A 'जोगीसार':14A 'निर्वाचन':4A 'ने':13A 'पैंकरा':12A 'प्रयोग':19A 'बुजुर्ग':9A 'मताधिकार':17A 'मरवाही':1A 'में':6A,15A 'वर्षीय':8A 'विधानसभा':2A 'श्री':10A", मरवाही विधानसभा उप निर्वाचन 2020 में 63 वर्षीय बुजुर्ग श्री काशीराम पैंकरा ने जोगीसार में अपने मताधिकार का प्रयोग किया। @SpokespersonECI @ECISVEEP  (),"In Marwahi Assembly by-election 2020, 63-year-old veteran Mr. Kashiram Pankera exercised his franchise in Jogisar. @SpokespersonECI @ECISVEEP ()",hi,"['i', 'मरवाही', 'विधानसभा', 'उप', 'निर्वाचन', 'में', 'वर्षीय', 'बुजुर्ग', 'श्री', 'काशीराम', 'पैंकरा', 'ने', 'जोगीसार', 'अपने', 'मताधिकार', 'का', 'प्रयोग', 'किया।', 'spokespersoneci', 'ecisveep']","['franchise', 'cis', 'vee', 'eci', 'marwahi assembly', 'spokesperson', 'jogisar']",1,0.182608248,0.182608248,manufacturing
70,4.11118E+18,,1.60441E+12,Jaano Nagaland,0,State,13,-1,"Covid-19 Bulletin #Nagaland status as on 3rdd November 2020 at 3:00 PM.
#TogetherWeCan
#NagalandAgainstCovid19
#FlattenTheCurve 
@dipr_nagaland @StateDisaster @ddnewskohima @airnews_kohima 
Source-@HealthNagaland 
(Posted on Twitter by @MyGovNagaland)","{https://pbs.twimg.com/media/El5ewaYU4AAfo_m.jpg,https://pbs.twimg.com/media/El5ewrZVoAAd3PS.jpg}",NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Nagaland,,,"'-19':2A '00':13A '2020':10A '3':12A '3rdd':8A 'airnews':22A 'as':6A 'at':11A 'bulletin':3A 'by':29A 'covid':1A 'ddnewskohima':21A 'dipr':18A 'flattenthecurve':17A 'healthnagaland':25A 'jaano':31C 'kohima':23A 'mygovnagaland':30A 'nagaland':4A,19A,32C 'nagalandagainstcovid19':16A 'november':9A 'on':7A,27A 'pm':14A 'posted':26A 'source':24A 'statedisaster':20A 'status':5A 'togetherwecan':15A 'twitter':28A", Covid-19 Bulletin #Nagaland status as on 3rdd November 2020 at 3:00 PM. #TogetherWeCan #NagalandAgainstCovid19 #FlattenTheCurve  @dipr_nagaland @StateDisaster @ddnewskohima @airnews_kohima  Source-@HealthNagaland  (),Covid-19 Bulletin #Nagaland status as on 3rdd November 2020 at 3:00 PM. #TogetherWeCan #NagalandAgainstCovid19 #FlattenTheCurve  @dipr_nagaland @StateDisaster @ddnewskohima @airnews_kohima  Source-@HealthNagaland  (),en,"['c', 'covid', 'bulletin', 'nagaland', 'status', 'as', 'on', 'rdd', 'november', 'at', 'pm', 'togetherwecan', 'nagalandagainstcovid', 'flattenthecurve', 'diprnagaland', 'statedisaster', 'ddnewskohima', 'airnewskohima', 'sourcehealthnagaland']","['health', 'koh', 'disaster', 'dd', 'the', 'ima', 'flatten', 'dip', 'rdd november', 'news', 'state', 'air', 'curve', 'together', 'nagaland', 'we', 'can', 'pm nagalandagainstcovid source', 'covid bulletinstatus']",1,0.533277001,0.533277001,travel and transport
72,3.22809E+18,,1.60441E+12,Jaano Bihar,0,State,10,-1,"#BiharAssemblyElection2020 
शाम 5 बजे तक 51.80% मतदान
Poll percentage 51.80% at 5 PM 
(Posted on Twitter by @PIB_Patna)","{https://pbs.twimg.com/media/El5eUCUVcAEePyN.jpg,https://pbs.twimg.com/media/El5eUkrVkAEQ79H.jpg}",NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Bihar,,,"'5':3A,12A '51.80':6A,10A 'at':11A 'bihar':21C 'biharassemblyelection2020':1A 'by':17A 'jaano':20C 'on':15A 'patna':19A 'percentage':9A 'pib':18A 'pm':13A 'poll':8A 'posted':14A 'twitter':16A 'तक':5A 'बजे':4A 'मतदान':7A 'शाम':2A", #BiharAssemblyElection2020  शाम 5 बजे तक 51.80% मतदान Poll percentage 51.80% at 5 PM  (),# BiharAssemblyElection2020 51.80% Poll Poll percentage 51.80% at 5 PM (till 5 PM),hi,"['biharassemblyelection', 'शाम', 'बजे', 'तक', 'मतदान', 'poll', 'percentage', 'at', 'pm']","['biharassemblyelection poll poll percentage', 'pm till pm']",1,0.230442473,0.230442473,politics
73,4.72615E+17,,1.60441E+12,Jaano Arunachal Pradesh,0,State,12,-1,"It's necessary to adhere to the basic #covid19 protocols till the current situation perishes entirely. Until then, let's get used to the #NewNormal etiquettes for #Covid control.

#arunachalagainstcorona #arunachalfightscorona 
(Posted on Twitter by @MyGovArunachal)",{https://pbs.twimg.com/media/El5eMy5XIAAklYZ.jpg},NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Arunachal Pradesh,,,"'adhere':5A 'arunachal':38C 'arunachalagainstcorona':30A 'arunachalfightscorona':31A 'basic':8A 'by':35A 'control':29A 'covid':28A 'covid19':9A 'current':13A 'entirely':16A 'etiquettes':26A 'for':27A 'get':21A 'it':1A 'jaano':37C 'let':19A 'mygovarunachal':36A 'necessary':3A 'newnormal':25A 'on':33A 'perishes':15A 'posted':32A 'pradesh':39C 'protocols':10A 's':2A,20A 'situation':14A 'the':7A,12A,24A 'then':18A 'till':11A 'to':4A,6A,23A 'twitter':34A 'until':17A 'used':22A"," It's necessary to adhere to the basic #covid19 protocols till the current situation perishes entirely. Until then, let's get used to the #NewNormal etiquettes for #Covid control.  #arunachalagainstcorona #arunachalfightscorona  ()","It's necessary to adhere to the basic #covid19 protocols till the current situation perishes entirely. Until then, let's get used to the #NewNormal etiquettes for #Covid control.  #arunachalagainstcorona #arunachalfightscorona  ()",en,"['i', 'its', 'necessary', 'to', 'adhere', 'the', 'basic', 'covid', 'protocols', 'till', 'current', 'situation', 'perishes', 'entirely', 'until', 'then', 'lets', 'get', 'used', 'newnormal', 'etiquettes', 'for', 'control', 'arunachalagainstcorona', 'arunachalfightscorona']","['new', 'necessary', 'theetiquettes forcontrol arunachalfightscorona', '19', 'corona', 'basicprotocols till', 'normal', 'against', 'current situation perishes entirely', 'get used', 'ovid', 'adhere', 'arunachal', 'let']",1,0.551284181,0.551284181,government works
74,2.33716E+18,,1.60441E+12,Jaano Odisha,0,State,21,-1,"▶️ .@AIIA_NDelhi is organizing a webinar on 5th November 2020 in association with @westernsydneyu  on the theme “Yoga and Ayurveda Medicine for Mental Wellness”.

Details ⏩https://t.co/MP8bo2OOqI

@moayush|@shripadynaik|@DDOdiaNews|@airnews_cuttack
(Posted on Twitter by @PIBBhubaneswar)",{},,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Odisha,,,"'/mp8bo2ooqi':28A '2020':10A '5th':8A 'a':5A 'aiia':1A 'airnews':32A 'and':19A 'association':12A 'ayurveda':20A 'by':37A 'cuttack':33A 'ddodianews':31A 'details':25A 'for':22A 'in':11A 'is':3A 'jaano':39C 'medicine':21A 'mental':23A 'moayush':29A 'ndelhi':2A 'november':9A 'odisha':40C 'on':7A,15A,35A 'organizing':4A 'pibbhubaneswar':38A 'posted':34A 'shripadynaik':30A 't.co':27A 't.co/mp8bo2ooqi':26A 'the':16A 'theme':17A 'twitter':36A 'webinar':6A 'wellness':24A 'westernsydneyu':14A 'with':13A 'yoga':18A", ▶️ .@AIIA_NDelhi is organizing a webinar on 5th November 2020 in association with @westernsydneyu  on the theme “Yoga and Ayurveda Medicine for Mental Wellness”.  Details ⏩  @moayush|@shripadynaik|@DDOdiaNews|@airnews_cuttack (),▶️ .@AIIA_NDelhi is organizing a webinar on 5th November 2020 in association with @westernsydneyu  on the theme “Yoga and Ayurveda Medicine for Mental Wellness”.  Details ⏩  @moayush|@shripadynaik|@DDOdiaNews|@airnews_cuttack (),en,"['▶', '▶️', 'aiiandelhi', 'is', 'organizing', 'a', 'webinar', 'on', 'th', 'november', 'in', 'association', 'with', 'westernsydneyu', 'the', 'theme', '“yoga', 'and', 'ayurveda', 'medicine', 'for', 'mental', 'wellness”', 'details', '⏩', 'moayushshripadynaikddodianewsairnewscuttack']","['association', 'sydney', 'theme yoga', 'organizing', 'ayurveda medicine', 'iia', 'th november', 'western', 'news', 'mental wellness details moayush shripadynaik ddodianews', 'webinar', 'air']",1,0.483098023,0.483098023,healthcare and medicine
76,1.44518E+18,,1.60441E+12,Jaano Puducherry,0,State,34,-1,"#HappeningNow: 

Join us in the Webinar on 'Good Practices in Government Reaching Out to Masses' where HLG @thekiranbedi will be presenting her experiences in administration. 
Organized by Mata Sundari College for Women, University of Delhi. 
(Posted on Twitter by @LGov_Puducherry)",{https://pbs.twimg.com/media/El5cWEQVgAAfd-l.jpg},NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Puducherry,,,"'administration':25A 'be':20A 'by':27A,39A 'college':30A 'delhi':35A 'experiences':23A 'for':31A 'good':8A 'government':11A 'happeningnow':1A 'her':22A 'hlg':17A 'in':4A,10A,24A 'jaano':42C 'join':2A 'lgov':40A 'masses':15A 'mata':28A 'of':34A 'on':7A,37A 'organized':26A 'out':13A 'posted':36A 'practices':9A 'presenting':21A 'puducherry':41A,43C 'reaching':12A 'sundari':29A 'the':5A 'thekiranbedi':18A 'to':14A 'twitter':38A 'university':33A 'us':3A 'webinar':6A 'where':16A 'will':19A 'women':32A"," #HappeningNow:   Join us in the Webinar on 'Good Practices in Government Reaching Out to Masses' where HLG @thekiranbedi will be presenting her experiences in administration.  Organized by Mata Sundari College for Women, University of Delhi.  ()","#HappeningNow:   Join us in the Webinar on 'Good Practices in Government Reaching Out to Masses' where HLG @thekiranbedi will be presenting her experiences in administration.  Organized by Mata Sundari College for Women, University of Delhi.  ()",en,"['happeningnow', 'join', 'us', 'in', 'the', 'webinar', 'on', 'good', 'practices', 'government', 'reaching', 'out', 'to', 'masses', 'where', 'hlg', 'thekiranbedi', 'will', 'be', 'presenting', 'her', 'experiences', 'administration', 'organized', 'by', 'mata', 'sundari', 'college', 'for', 'women', 'university', 'of', 'delhi']","['bed', 'kiran', 'delhi', 'masses', 'government reaching', 'the', 'mata sundari college', 'good practices', 'presenting', 'experiences', 'hlg', 'administration organized', 'webinar', 'women university', 'happeningnow join us']",1,0.549414733,0.549414733,education and skill development
77,3.31007E+18,,1.6044E+12,Jaano Bihar,0,State,10,-1,"#Unite2FightCorona 

➡️ भारत में सक्रिय मामले आज 5.5 लाख से कम हुए 

➡️ https://t.co/CpTeRGtcNh 
(Posted on Twitter by @PIB_Patna)","{https://pbs.twimg.com/media/El5bl4vU4AAQK9E.jpg,https://pbs.twimg.com/media/El5bl4tU0AAdeKI.jpg,https://pbs.twimg.com/media/El5bl4zUcAESex7.jpg}",NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Bihar,,,'/cptergtcnh':14A '5.5':7A 'bihar':22C 'by':18A 'jaano':21C 'on':16A 'patna':20A 'pib':19A 'posted':15A 't.co':13A 't.co/cptergtcnh':12A 'twitter':17A 'unite2fightcorona':1A 'आज':6A 'कम':10A 'भारत':2A 'मामले':5A 'में':3A 'लाख':8A 'सक्रिय':4A 'से':9A 'हुए':11A, #Unite2FightCorona   ➡️ भारत में सक्रिय मामले आज 5.5 लाख से कम हुए   ➡️   (),# Unite2FightCorona मामले Active cases in India today reduced by 5.5 lakhs) (),hi,"['unitefightcorona', '➡️', 'भारत', 'में', 'सक्रिय', 'मामले', 'आज', 'लाख', 'से', 'कम', 'हुए']","['unite fightcorona म मल active cases', 'lakhs', 'india today reduced']",1,0.473987077,0.473987077,business and accounts
78,5.62645E+17,,1.6044E+12,Jaano Delhi,0,State,7,-1,"Delhi's home isolation model has received praise from across the world. It has brought solace to COVID positive patients by providing treatment to them at the comfort of their homes, & has helped prevent undue strain on the health infrastructure #DelhiModel 
(Posted on Twitter by @DDC_Delhi)",{https://pbs.twimg.com/media/El5bbcsVcAEDWD5.jpg},NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Delhi,,,"'across':10A 'at':26A 'brought':15A 'by':21A,45A 'comfort':28A 'covid':18A 'ddc':46A 'delhi':1A,47A,49C 'delhimodel':41A 'from':9A 'has':6A,14A,32A 'health':39A 'helped':33A 'home':3A 'homes':31A 'infrastructure':40A 'isolation':4A 'it':13A 'jaano':48C 'model':5A 'of':29A 'on':37A,43A 'patients':20A 'positive':19A 'posted':42A 'praise':8A 'prevent':34A 'providing':22A 'received':7A 's':2A 'solace':16A 'strain':36A 'the':11A,27A,38A 'their':30A 'them':25A 'to':17A,24A 'treatment':23A 'twitter':44A 'undue':35A 'world':12A"," Delhi's home isolation model has received praise from across the world. It has brought solace to COVID positive patients by providing treatment to them at the comfort of their homes, & has helped prevent undue strain on the health infrastructure #DelhiModel  ()","Delhi's home isolation model has received praise from across the world. It has brought solace to COVID positive patients by providing treatment to them at the comfort of their homes, & has helped prevent undue strain on the health infrastructure #DelhiModel  ()",en,"['d', 'delhis', 'home', 'isolation', 'model', 'has', 'received', 'praise', 'from', 'across', 'the', 'world', 'it', 'brought', 'solace', 'to', 'covid', 'positive', 'patients', 'by', 'providing', 'treatment', 'them', 'at', 'comfort', 'of', 'their', 'homes', 'helped', 'prevent', 'undue', 'strain', 'on', 'health', 'infrastructure', 'delhimodel']","['received praise', 'brought solace', 'delhi', 'comfort', 'providing treatment', 'across', 'covid positive patients', 'health infrastructure', 'helped prevent undue strain', 'world', 'homes', 'model', 'home isolation model']",1,0.678078385,0.678078385,healthcare and medicine
79,2.42698E+18,,1.6044E+12,Jaano Karnataka,0,State,29,-1,"Wash Hands and Be Safe.
#washinghands #StaySafe 
@PMOIndia @narendramodi @CMofKarnataka @UNICEFIndia @UNDP_India @WHOSEARO @MoHFW_INDIA @MVenkaiahNaidu @drharshvardhan @BSYBJP @DVSadanandGowda @PCMohanMP @Tejasvi_Surya @drashwathcn @LaxmanSavadi @GovindKarjol 
(Posted on Twitter by @DHFWKA)",{https://pbs.twimg.com/media/El5bjUqXUAEuPdW.jpg},NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Karnataka,,,"'and':3A 'be':4A 'bsybjp':19A 'by':30A 'cmofkarnataka':10A 'dhfwka':31A 'drashwathcn':24A 'drharshvardhan':18A 'dvsadanandgowda':20A 'govindkarjol':26A 'hands':2A 'india':13A,16A 'jaano':32C 'karnataka':33C 'laxmansavadi':25A 'mohfw':15A 'mvenkaiahnaidu':17A 'narendramodi':9A 'on':28A 'pcmohanmp':21A 'pmoindia':8A 'posted':27A 'safe':5A 'staysafe':7A 'surya':23A 'tejasvi':22A 'twitter':29A 'undp':12A 'unicefindia':11A 'wash':1A 'washinghands':6A 'whosearo':14A", Wash Hands and Be Safe. #washinghands #StaySafe  @PMOIndia @narendramodi @CMofKarnataka @UNICEFIndia @UNDP_India @WHOSEARO @MoHFW_INDIA @MVenkaiahNaidu @drharshvardhan @BSYBJP @DVSadanandGowda @PCMohanMP @Tejasvi_Surya @drashwathcn @LaxmanSavadi @GovindKarjol  (),Wash Hands and Be Safe. #washinghands #StaySafe  @PMOIndia @narendramodi @CMofKarnataka @UNICEFIndia @UNDP_India @WHOSEARO @MoHFW_INDIA @MVenkaiahNaidu @drharshvardhan @BSYBJP @DVSadanandGowda @PCMohanMP @Tejasvi_Surya @drashwathcn @LaxmanSavadi @GovindKarjol  (),en,"['w', 'wash', 'hands', 'and', 'be', 'safe', 'washinghands', 'staysafe', 'pmoindia', 'narendramodi', 'cmofkarnataka', 'unicefindia', 'undpindia', 'whosearo', 'mohfwindia', 'mvenkaiahnaidu', 'drharshvardhan', 'bsybjp', 'dvsadanandgowda', 'pcmohanmp', 'tejasvisurya', 'drashwathcn', 'laxmansavadi', 'govindkarjol']","['harsh', 'whose', 'ahn', 'wat', 'pc', 'undp', 'rash', 'gov', 'end', 'ram', 'dr', 'sav', 'nar', 'dha', 'laxman', 'dvs', 'jas', 'vi', 'mohan', 'hands', 'adi', 'aid', 'ind', 'wash hands', 'nand', 'moh', 'unicef', 'go', 'var', 'te', 'sy', 'jo', 'fw', 'cmo', 'safe staysafe', 'aro', 'pmo', 'ven', 'washing', 'karnataka', 'ada', 'india', 'wda', 'kar', 'hcn', 'mp', 'odi', 'bjp', 'kai']",1,0.145362543,0.145362543,healthcare and medicine
81,1.53605E+18,,1.6044E+12,Jaano Goa,0,State,30,-1,"Dy Chief Minister @BabuAjgaonkar laid the foundation stone for construction of #Elearning classroom under Corporate Social Responsibility (#CSR) initiative by #GMR @aaigoaairport  & #GMR Varalakshmi Foundation in Government Middle school, #Mopa-Pernem today. 
(Posted on Twitter by @dip_goa)",{https://pbs.twimg.com/media/El5bNLJVgAMJWAY.jpg},NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Goa,,,"'aaigoaairport':22A 'babuajgaonkar':4A 'by':20A,37A 'chief':2A 'classroom':13A 'construction':10A 'corporate':15A 'csr':18A 'dip':38A 'dy':1A 'elearning':12A 'for':9A 'foundation':7A,25A 'gmr':21A,23A 'goa':39A,41C 'government':27A 'in':26A 'initiative':19A 'jaano':40C 'laid':5A 'middle':28A 'minister':3A 'mopa':31A 'mopa-pernem':30A 'of':11A 'on':35A 'pernem':32A 'posted':34A 'responsibility':17A 'school':29A 'social':16A 'stone':8A 'the':6A 'today':33A 'twitter':36A 'under':14A 'varalakshmi':24A"," Dy Chief Minister @BabuAjgaonkar laid the foundation stone for construction of #Elearning classroom under Corporate Social Responsibility (#CSR) initiative by #GMR @aaigoaairport  & #GMR Varalakshmi Foundation in Government Middle school, #Mopa-Pernem today.  ()","Dy Chief Minister @BabuAjgaonkar laid the foundation stone for construction of #Elearning classroom under Corporate Social Responsibility (#CSR) initiative by #GMR @aaigoaairport  & #GMR Varalakshmi Foundation in Government Middle school, #Mopa-Pernem today.  ()",en,"['d', 'dy', 'chief', 'minister', 'babuajgaonkar', 'laid', 'the', 'foundation', 'stone', 'for', 'construction', 'of', 'elearning', 'classroom', 'under', 'corporate', 'social', 'responsibility', 'csr', 'initiative', 'by', 'gmr', 'aaigoaairport', 'varalakshmi', 'in', 'government', 'middle', 'school', 'mopapernem', 'today']","['construction ofclassroom', 'goa', 'gmr', 'foundation stone', 'varalakshmi foundation', 'government middle school mopa pernem today', 'kar', 'babu', 'aai', 'airport', 'elearning', 'jg', 'aon', 'corporate social responsibility csr initiative', 'dy chief minister laid']",1,0.517943075,0.517943075,government works
83,6.5352E+17,,1.6044E+12,Jaano Tripura,0,State,16,-1,"8th Meeting of the India-UAE High Level Joint Task Force on Investments 
@CimGOI @DoC_GoI @PIB_India @ddnewsagartala @mygovindia @mygovtripura 

https://t.co/u7MvwAZLN4
(Posted on Twitter by @PIBAgartala)",{},,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Tripura,,,"'/u7mvwazln4':25A '8th':1A 'by':29A 'cimgoi':15A 'ddnewsagartala':20A 'doc':16A 'force':12A 'goi':17A 'high':8A 'india':6A,19A 'india-uae':5A 'investments':14A 'jaano':31C 'joint':10A 'level':9A 'meeting':2A 'mygovindia':21A 'mygovtripura':22A 'of':3A 'on':13A,27A 'pib':18A 'pibagartala':30A 'posted':26A 't.co':24A 't.co/u7mvwazln4':23A 'task':11A 'the':4A 'tripura':32C 'twitter':28A 'uae':7A", 8th Meeting of the India-UAE High Level Joint Task Force on Investments  @CimGOI @DoC_GoI @PIB_India @ddnewsagartala @mygovindia @mygovtripura    (),8th Meeting of the India-UAE High Level Joint Task Force on Investments  @CimGOI @DoC_GoI @PIB_India @ddnewsagartala @mygovindia @mygovtripura    (),en,"['th', 'meeting', 'of', 'the', 'indiauae', 'high', 'level', 'joint', 'task', 'force', 'on', 'investments', 'cimgoi', 'docgoi', 'pibindia', 'ddnewsagartala', 'mygovindia', 'mygovtripura']","['doc', 'india', 'investments', 'go', 'dd', 'gov', 'agartala', 'my', 'cim', 'th meeting', 'news', 'pib', 'tripura']",1,0.307410504,0.307410504,government works
84,2.50896E+18,,1.6044E+12,Jaano Goa,0,State,30,-1,"@goacm  @DrPramodPSawant discussed with officials of NABARD, Directorate of Panchayats, Solid Waste Management Corporation and Municipal Administration, the status of #toilets being built up in the State today.
@GovtofGoa builds #toilet for Goan household under a subsidized rate. 
(Posted on Twitter by @dip_goa)","{https://pbs.twimg.com/media/El5Zb5tUYAAJ8bS.jpg,https://pbs.twimg.com/media/El5Zb5sVoAAMtE0.jpg}",NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Goa,,,"'a':36A 'administration':17A 'and':15A 'being':22A 'builds':30A 'built':23A 'by':42A 'corporation':14A 'dip':43A 'directorate':8A 'discussed':3A 'drpramodpsawant':2A 'for':32A 'goa':44A,46C 'goacm':1A 'goan':33A 'govtofgoa':29A 'household':34A 'in':25A 'jaano':45C 'management':13A 'municipal':16A 'nabard':7A 'of':6A,9A,20A 'officials':5A 'on':40A 'panchayats':10A 'posted':39A 'rate':38A 'solid':11A 'state':27A 'status':19A 'subsidized':37A 'the':18A,26A 'today':28A 'toilet':31A 'toilets':21A 'twitter':41A 'under':35A 'up':24A 'waste':12A 'with':4A"," @goacm  @DrPramodPSawant discussed with officials of NABARD, Directorate of Panchayats, Solid Waste Management Corporation and Municipal Administration, the status of #toilets being built up in the State today. @GovtofGoa builds #toilet for Goan household under a subsidized rate.  ()","@goacm  @DrPramodPSawant discussed with officials of NABARD, Directorate of Panchayats, Solid Waste Management Corporation and Municipal Administration, the status of #toilets being built up in the State today. @GovtofGoa builds #toilet for Goan household under a subsidized rate.  ()",en,"['goacm', 'drpramodpsawant', 'discussed', 'with', 'officials', 'of', 'nabard', 'directorate', 'panchayats', 'solid', 'waste', 'management', 'corporation', 'and', 'municipal', 'administration', 'the', 'status', 'toilets', 'being', 'built', 'up', 'in', 'state', 'today', 'govtofgoa', 'builds', 'toilet', 'for', 'goan', 'household', 'under', 'a', 'subsidized', 'rate']","['goa', 'state today buildsfor goan household', 'nabard directorate', 'discussed', 'municipal administration', 'govt', 'want', 'dr', 'acm', 'status ofbeing built', 'toilet', 'pra', 'psa', 'panchayats solid waste management corporation', 'go', 'officials', 'toilets', 'mod', 'subsidized rate', 'of']",1,0.606580714,0.606580714,government works
85,4.3735E+18,,1.6044E+12,Jaano Tripura,0,State,16,-1,"Observance of Vigilance Awareness  Week in Employee State Insurance Corporation (ESIC)
@LabourMinistry @mygovindia @mygovtripura @PIB_India @ddnewsagartala 
 https://t.co/xvEmFQ33dK 
(Posted on Twitter by @PIBAgartala)",{https://pbs.twimg.com/media/El5aJOqVcAAG0Qr.jpg},NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Tripura,,,'/xvemfq33dk':20A 'awareness':4A 'by':24A 'corporation':10A 'ddnewsagartala':17A 'employee':7A 'esic':11A 'in':6A 'india':16A 'insurance':9A 'jaano':26C 'labourministry':12A 'mygovindia':13A 'mygovtripura':14A 'observance':1A 'of':2A 'on':22A 'pib':15A 'pibagartala':25A 'posted':21A 'state':8A 't.co':19A 't.co/xvemfq33dk':18A 'tripura':27C 'twitter':23A 'vigilance':3A 'week':5A, Observance of Vigilance Awareness  Week in Employee State Insurance Corporation (ESIC) @LabourMinistry @mygovindia @mygovtripura @PIB_India @ddnewsagartala     (),Observance of Vigilance Awareness  Week in Employee State Insurance Corporation (ESIC) @LabourMinistry @mygovindia @mygovtripura @PIB_India @ddnewsagartala     (),en,"['o', 'observance', 'of', 'vigilance', 'awareness', 'week', 'in', 'employee', 'state', 'insurance', 'corporation', 'esic', 'labourministry', 'mygovindia', 'mygovtripura', 'pibindia', 'ddnewsagartala']","['ministry', 'india', 'labour', 'observance', 'dd', 'gov', 'agartala', 'my', 'vigilance awareness week', 'employee state insurance corporation esic', 'news', 'pib', 'tripura']",1,0.521620537,0.521620537,government works
87,3.49041E+18,,1.6044E+12,Jaano Haryana,0,State,6,-1,"Haryana Government has issued transfer and posting order of one HCS officer.
Mr Kamlesh Kumar Bhadoo, Special Secretary, Revenue & Disaster Management  & OSD to  Deputy Chief Minister has been given  additional charge of Special Secretary, Development and Panchayats Department. 
(Posted on Twitter by @DiprHaryana)",{https://pbs.twimg.com/media/El5Z_czVcAAmnb0.jpg},NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Haryana,,,"'additional':30A 'and':6A,36A 'been':28A 'bhadoo':16A 'by':42A 'charge':31A 'chief':25A 'department':38A 'deputy':24A 'development':35A 'diprharyana':43A 'disaster':20A 'given':29A 'government':2A 'haryana':1A,45C 'has':3A,27A 'hcs':11A 'issued':4A 'jaano':44C 'kamlesh':14A 'kumar':15A 'management':21A 'minister':26A 'mr':13A 'of':9A,32A 'officer':12A 'on':40A 'one':10A 'order':8A 'osd':22A 'panchayats':37A 'posted':39A 'posting':7A 'revenue':19A 'secretary':18A,34A 'special':17A,33A 'to':23A 'transfer':5A 'twitter':41A"," Haryana Government has issued transfer and posting order of one HCS officer. Mr Kamlesh Kumar Bhadoo, Special Secretary, Revenue & Disaster Management  & OSD to  Deputy Chief Minister has been given  additional charge of Special Secretary, Development and Panchayats Department.  ()","Haryana Government has issued transfer and posting order of one HCS officer. Mr Kamlesh Kumar Bhadoo, Special Secretary, Revenue & Disaster Management  & OSD to  Deputy Chief Minister has been given  additional charge of Special Secretary, Development and Panchayats Department.  ()",en,"['h', 'haryana', 'government', 'has', 'issued', 'transfer', 'and', 'posting', 'order', 'of', 'one', 'hcs', 'officer', 'mr', 'kamlesh', 'kumar', 'bhadoo', 'special', 'secretary', 'revenue', 'disaster', 'management', 'osd', 'to', 'deputy', 'chief', 'minister', 'been', 'given', 'additional', 'charge', 'development', 'panchayats', 'department']","['special secretary development', 'haryana government', 'panchayats department', 'issued transfer', 'deputy chief minister', 'given additional charge', 'posting order']",1,0.594704328,0.594704328,government works
